MERK,TYPE,ACTIVITY,Fuel Tank Cap. L, Average , Low , Mid , High 
HITACHI,EX2600,LOADING,,  187 ,  145 ,  187 ,  230 
Hino FM360,Hino,SUPPORT,,  15 ,  12 ,  15 ,  18 
Hino FM260JD,Hino,SUPPORT,,  15 ,  12 ,  15 ,  18 
HINO,FM8JNKD-MGJ MT,SUPPORT,,  15 ,  12 ,  15 ,  18 
HINO,260 TI,SUPPORT,,  15 ,  12 ,  15 ,  18 
HINO,PC 200-8,SUPPORT,,  12 ,  9 ,  12 ,  14 
HILUX,"LV, TOYOTA HILUX, 4X4, Type E (ADM02)",SUPPORT,,  1 ,  1 ,  1 ,  1 
HILUX,"LV, TOYOTA HILUX, 4X4, Type E (ADM04)",SUPPORT,,  1 ,  1 ,  1 ,  1 
HILUX,"LV, TOYOTA HILUX, 4X4, Type E (AMG01)",SUPPORT,,  1 ,  1 ,  1 ,  1 
HILUX,"LV, TOYOTA HILUX, 4X4, Type E (AMG07)",SUPPORT,,  1 ,  1 ,  1 ,  1 
HILUX,"LV, TOYOTA HILUX, 4X4, Type E (AMG09)",SUPPORT,,  1 ,  1 ,  1 ,  1 
HILUX,"LV, TOYOTA HILUX, 4X4, Type G (AMG12)",SUPPORT,,  1 ,  1 ,  1 ,  1 
HILUX,"TOYOTA HILUX, 4X4, Type E (AMG05)",SUPPORT,,  1 ,  1 ,  1 ,  1 
HILUX,"TOYOTA HILUX, 4X4, Type E (SCM01)",SUPPORT,,  1 ,  1 ,  1 ,  1 
HILUX,"TOYOTA HILUX, 4X4, Type G (ENG03)",SUPPORT,,  1 ,  1 ,  1 ,  1 
HD9 4442 80,"TRUCK, MANHAUL, IVECO, ASTRA HD9420, 4X4",SUPPORT,,  30 ,  24 ,  30 ,  36 
HD9 4442 80,"TRUCK, MANHAUL, IVECO, HD94442, 4X4",SUPPORT,,  30 ,  24 ,  30 ,  36 
HD9 4442 80,"TRUCK, SERVICE, IVECO, ASTRA HD9420, 4X4",SUPPORT,,  30 ,  24 ,  30 ,  36 
HD785-7,"TRUCK, DUMP, KOMATSU, HD785-7",HAULING,,  77 ,  58 ,  77 ,  93 
HCR1200-EDII,"DRILLING MACHINE, FRD, HCR1200-EDII",SUPPORT,,  100 ,  80 ,  100 ,  120 
HARTECH,HT 150 P,SUPPORT,,  31 ,  25 ,  31 ,  37 
HARTECH,HT 80 P,SUPPORT,,  20 ,  16 ,  20 ,  24 
Genset,J320,SUPPORT,,  1 ,  1 ,  1 ,  1 
Genset,KJT130,SUPPORT,,  22 ,  18 ,  22 ,  26 
GDP60YS,"GENSET, YANMAR,GDP60YS, 60KVA",SUPPORT,,  5 ,  4 ,  5 ,  6 
GD705A-5,"GRADER, KOMATSU, GD705A-5",SUPPORT,,  19 ,  14 ,  19 ,  31 
FUSHENG,Air Compressor,SUPPORT,,  12 ,  10 ,  12 ,  14 
FORTUNER 2.4 VRZ,"LV, Fortuner, 2.4 VRZ, 4x4 , PM 01",SUPPORT,,  1 ,  1 ,  1 ,  1 
Forklift,FD50T-8,SUPPORT,,  6 ,  5 ,  6 ,  7 
Forklift,FD30C,SUPPORT,,  4 ,  3 ,  4 ,  4 
Forklift,FD30T,SUPPORT,,  4 ,  3 ,  4 ,  4 
FMX480,"LOWBOY, VOLVO, FMX480",SUPPORT,,  35 ,  28 ,  35 ,  42 
FMX-440 8X4,"TRUCK, DUMP, VOLVO, FMX-440 8X4",HAULING,,  30 ,  24 ,  30 ,  36 
FMX440,"TRUCK, CRANE, VOLVO, FMX440, 6X6, 15T",SUPPORT,,  26 ,  21 ,  26 ,  31 
FMX440,"TRUCK, FUEL, VOLVO, FMX440, 6X6 25KL",SUPPORT,,  26 ,  21 ,  26 ,  31 
FMX440,"TRUCK, FUEL, VOLVO, FMX440, 6X6, 25KL",SUPPORT,,  26 ,  21 ,  26 ,  31 
FMX440,"TRUCK, P-MOVER, VOLVO, FMX440, 6X6",SUPPORT,,  26 ,  21 ,  26 ,  31 
FMX440,"TRUCK, SERVICE, VOLVO, FMX440, 6X6",SUPPORT,,  26 ,  21 ,  26 ,  31 
FMX440,"TRUCK, WASH, VOLVO, FMX440, 6X6, 20KL",SUPPORT,,  26 ,  21 ,  26 ,  31 
FMX440,"TRUCK, WELDING, VOLVO, FMX440, 6X6",SUPPORT,,  26 ,  21 ,  26 ,  31 
FMX-400 6x4,"TRUCK, DUMP, VOLVO, FMX-400 6x4",HAULING,,  26 ,  21 ,  26 ,  31 
FMX330,"TRUCK, MANHAUL, VOLVO, FMX330, 4X4, 40 SEAT",SUPPORT,,  26 ,  21 ,  26 ,  31 
FM66R,"TRUCK, CRANE, VOLVO, FM66R, 6X6",SUPPORT,,  26 ,  21 ,  26 ,  31 
FM260JD,"LUBE TRUCK, HINO, FM260JD",SUPPORT,,  35 ,  28 ,  35 ,  42 
FM 66 R,"TRUCK, TIRE, VOLVO, FMX440, 6X6",SUPPORT,,  35 ,  28 ,  35 ,  42 
FB 30- - 12,FORKLIFT KOMATSU FB30-12,SUPPORT,,  125 ,  100 ,  125 ,  150 
EX2600,"EXCAVATOR, HITACHI, EX2600-6",LOADING,,  187 ,  145 ,  187 ,  230 
EX2600,"EXCAVATOR, HITACHI, EX2600-7",LOADING,,  187 ,  145 ,  187 ,  230 
EX2500,"EXCAVATOR, BACKHOE, HITACHI, EX2500-6",LOADING,,  125 ,  100 ,  125 ,  150 
EK1343-150 SS,"WATER PUMP, Volvo Penta KSB, EK1343-150 SS",SUPPORT,,  35 ,  28 ,  35 ,  42 
"EGS380-6, 350kVA","GENSET, KOMATSU, EGS380-6, 350KVA",SUPPORT,,  10 ,  8 ,  10 ,  12 
EGS380-6,"GENSET, KOMATSU, EGS380-6",SUPPORT,,  10 ,  8 ,  10 ,  12 
EGS380-6,"GENSET, KOMATSU, EGS380-6, 350KVA",SUPPORT,,  10 ,  8 ,  10 ,  12 
EGS380-6,"GENSET, KOMATSU, EGS380-6,350KVA",SUPPORT,,  10 ,  8 ,  10 ,  12 
EGS300-6,"GENSET, KOMATSU, EGS300-6, PRIME, SILENT, 275KVA",SUPPORT,,  10 ,  8 ,  10 ,  12 
EGS 380-6,"GENSET, KOMATSU, EGS380-6, PRIME, SILENT, 350KVA",SUPPORT,,  10 ,  8 ,  10 ,  12 
DT95,"TRUCK, DUMP, DEVELON, DT95",HAULING,,  30 ,  24 ,  30 ,  36 
Drilling Machine Komatsu,D50KS,SUPPORT,,  18 ,  14 ,  18 ,  21 
Drilling Machine Komatsu,D245X,SUPPORT,,  36 ,  29 ,  36 ,  44 
Drilling,SKF11,SUPPORT,,  30 ,  24 ,  30 ,  36 
Drilling,SKF50,SUPPORT,,  43 ,  34 ,  43 ,  51 
DREDGERPUMP12/10,Mud Pump,SUPPORT,,  64 ,  51 ,  64 ,  77 
DRAGFLOW 1204B,"1X PUMP, SLURRY, ELECTRIC, REL, DRAGFLOW 1204B",SUPPORT,,  64 ,  51 ,  64 ,  77 
DRAGFLOW 1204B,"PUMP, SLURRY, ELC, REL, DRAGFLOW 1204B",SUPPORT,,  64 ,  51 ,  64 ,  77 
DRAGFLOW,DRAGFLOW HY300,SUPPORT,,  40 ,  32 ,  40 ,  48 
DRAGFLOW,DRAGFLOW HY85/160B,SUPPORT,,  40 ,  32 ,  40 ,  48 
DOOSAN,DOOSAN,SUPPORT,,  1 ,  1 ,  1 ,  1 
DOOSAN,DX500LCA,LOADING,,  30 ,  24 ,  30 ,  36 
DOOSAN,DX520LCA,LOADING,,  30 ,  24 ,  30 ,  36 
DOOSAN,DX520LCA-K,LOADING,,  30 ,  24 ,  30 ,  36 
Doosan,D160S-5,SUPPORT,,  50 ,  40 ,  50 ,  60 
DOOSAN,DX300LCA,LOADING,,  17 ,  14 ,  17 ,  20 
DOOSAN,DX500LCA,LOADING,,  28 ,  22 ,  28 ,  34 
DOOSAN,DX520LCA,LOADING,,  28 ,  22 ,  28 ,  34 
DOOSAN,LSCWKUB-60HZ-T4F,SUPPORT,,  1 ,  1 ,  1 ,  1 
DND200-MHX,"PUMP, KSB, DND200-MHX, CAT C27",SUPPORT,,  20 ,  16 ,  20 ,  24 
DND200,"PUMP, DEWATERING, KSB, DND200-5HX",SUPPORT,,  20 ,  16 ,  20 ,  24 
DND200,"PUMP, DND200 c/w PONTOON 16MA0101",SUPPORT,,  20 ,  16 ,  20 ,  24 
DND200,"PUMP, DND200 c/w PONTOON 16MA0108",SUPPORT,,  20 ,  16 ,  20 ,  24 
DND 150,"PUMP, BOOSTER, KSB, DND 150, CAT C15",SUPPORT,,  20 ,  16 ,  20 ,  24 
DND 150,"PUMP, DEWATERING, KSB, DND 150, CAT C15",SUPPORT,,  20 ,  16 ,  20 ,  24 
DND 150,"PUMP, KSB, DND150, BOOSTER, CAT C15",SUPPORT,,  20 ,  16 ,  20 ,  24 
DM30XC,"DRILLING, ROTARY, EPIROC, DM30 XC",SUPPORT,,  78 ,  62 ,  78 ,  93 
DM30 II LP,"DRILLING MACHINE, EPIROC, DM30 II LP",SUPPORT,,  100 ,  80 ,  100 ,  120 
DE220E0,"GENSET, CAT, DE220, PRIME, SILENT, 200Kva",SUPPORT,,  10 ,  8 ,  10 ,  12 
DE110,"GENSET, CAT, DE110, PRIME, 100KVA",SUPPORT,,  10 ,  8 ,  10 ,  12 
DAEWOO,DAEWOO,SUPPORT,,  1 ,  1 ,  1 ,  1 
Daewoo,D-100,SUPPORT,,  50 ,  40 ,  50 ,  60 
Daewoo,K6D6F (CT),SUPPORT,,  50 ,  40 ,  50 ,  60 
DAEWO,DAEWO,SUPPORT,,  1 ,  1 ,  1 ,  1 
D9T,"DOZER, TRACK, CAT, D9T",SUPPORT,,  53 ,  42 ,  53 ,  63 
D9T,"DOZER, TRACK, CATERPILLAR, D9T, RIPPER",SUPPORT,,  53 ,  42 ,  53 ,  63 
D8R,"DOZER, TRACK, CAT, D8R",SUPPORT,,  45 ,  36 ,  45 ,  54 
D8R,"DOZER, TRACK, CATERPILLAR, D8R, RIPPER",SUPPORT,,  45 ,  36 ,  45 ,  54 
D85ESS-2,"DOZER, KOMATSU, D85ESS-2",SUPPORT,,  24 ,  14 ,  24 ,  34 
D245S,"DRILLING, ROTARY, SANDVIK, D245S, 9M",SUPPORT,,  100 ,  80 ,  100 ,  120 
D155A-6,"DOZER, KOMATSU, D155A-6",SUPPORT,,  30 ,  16 ,  30 ,  40 
CWB6BLLDN2,"WATER TRUCK, NISSAN QUON, CWB6BLLDN2",SUPPORT,,  24 ,  19 ,  24 ,  29 
CUMMINS,WS-6900XD 6X4 ,HAULING,,  38 ,  35 ,  38 ,  41 
CUMMINS,WS-6964SX,HAULING,,  38 ,  35 ,  38 ,  41 
Crusher,C125B,SUPPORT,,  35 ,  28 ,  35 ,  42 
Crawler Hitachi,TR500EX,SUPPORT,,  20 ,  16 ,  20 ,  24 
CLGLD36D,"DOZER, LIU GONG, CLGLD36D",SUPPORT,,  40 ,  32 ,  40 ,  48 
CLG835HM,"TYRE HANDLER, LIU GONG, CLG835HM",SUPPORT,,  10 ,  8 ,  10 ,  12 
CLG4260D-R,"GRADER, LIU GONG, CLG4260D-R",SUPPORT,,  20 ,  16 ,  20 ,  24 
CLG4140D,"GRADER, LIU GONG, CLG4140D",SUPPORT,,  20 ,  16 ,  20 ,  24 
CATTERPILAR,CAT14M3,SUPPORT,,  16 ,  11 ,  16 ,  23 
CATERPILLAR C-12,SYKES XH-150,SUPPORT,,  50 ,  40 ,  50 ,  60 
Caterpillar,773E,HAULING,,  65 ,  45 ,  65 ,  88 
Caterpillar,777D,HAULING,,  65 ,  45 ,  65 ,  88 
Caterpillar,777E,HAULING,,  65 ,  45 ,  65 ,  88 
Caterpillar,14H,SUPPORT,,  50 ,  37 ,  50 ,  63 
Caterpillar,14M,SUPPORT,,  16 ,  11 ,  16 ,  23 
Caterpillar,16H,SUPPORT,,  31 ,  23 ,  31 ,  40 
Caterpillar,16M,SUPPORT,,  16 ,  11 ,  16 ,  23 
Caterpillar,340D2L,SUPPORT,,  30 ,  24 ,  30 ,  36 
Caterpillar,CAT-3306,SUPPORT,,  30 ,  24 ,  30 ,  36 
Caterpillar,D10R,SUPPORT,,  30 ,  24 ,  30 ,  36 
Caterpillar,D6R2 XL,SUPPORT,,  30 ,  24 ,  30 ,  36 
Caterpillar,D7G2,SUPPORT,,  30 ,  24 ,  30 ,  36 
Caterpillar,D9R,SUPPORT,,  65 ,  52 ,  65 ,  78 
CAT  C - 16,WS-6964SX,HAULING,,  38 ,  35 ,  38 ,  41 
C38D5,"GENSET, CUMMINS, C38D5, 35 KVA",SUPPORT,,  2 ,  2 ,  2 ,  3 
BW211D-40 9,"COMPACTOR, KOMATSU, BW211D-40 9",SUPPORT,,  10 ,  8 ,  10 ,  12 
BUS,"BIG BUS MERCEDES BENZ, CAPACITY 59 SEAT 4X2 (B.01)",SUPPORT,,  1 ,  1 ,  1 ,  1 
BUS,"BIG BUS MERCEDES BENZ, CAPACITY 59 SEAT 4X2 (B.02)",SUPPORT,,  1 ,  1 ,  1 ,  1 
BUS,"Minibus,Mitsubishi,4x4,Cap. 29 seats",SUPPORT,,  1 ,  1 ,  1 ,  1 
Bomag212,Compactor,SUPPORT,,  12 ,  9 ,  12 ,  15 
Bomag,BW211D-40,SUPPORT,,  12 ,  10 ,  12 ,  14 
BERCA POWER,BF-C110S,SUPPORT,,  14 ,  11 ,  14 ,  17 
AXOR MB2528CX-E4,"CRANE TRUCK, MERCEDES-BENZ, AXOR MB2528CX-E4",SUPPORT,,  30 ,  24 ,  30 ,  36 
AXOR 2528CH 6X4,"FUEL TRUCK, MERCEDES-BENZ, AXOR 2528CH 6X4",SUPPORT,,  24 ,  19 ,  24 ,  29 
ATLAS COPCO,"COMPRESSOR, ATLAS COPCO, GA 30FF-10",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,"COMPRESSOR, ATLAS COPCO, XAS 300 DD7",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,"COMPRESSOR, ATLAS COPCO, XAS 300 KD7",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,"COMPRESSOR, ATLAS COPCO, XAS 47 DD",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,"COMPRESSOR, ATLAS COPCO, XAS 90 DD",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,"COMPRESSOR, ATLAS COPCP, XAS 300 DD7",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,"COMPRESSOR, DSL, ATLAS COPCO, XAS137KD7",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,"COMPRESSOR, DSL, ATLAS COPCO, XAS300DD7",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,"COMPRESSOR, DSL, ATLAS COPCO, XAS48KD",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,"COMPRESSOR, DSL, ATLAS COPCO, XAS90DD7",SUPPORT,,  5 ,  4 ,  5 ,  6 
ATLAS COPCO,G15-22P FM,SUPPORT,,  30 ,  24 ,  30 ,  36 
ATLAS COPCO,G15P A 10 FM,SUPPORT,,  30 ,  24 ,  30 ,  36 
ATLAS COPCO,TOWER LAMP. QLT M10,SUPPORT,,  1 ,  1 ,  1 ,  1 
ATLAS COPCO,XAHS38 Kd,SUPPORT,,  13 ,  10 ,  13 ,  16 
ATLAS COPCO,Air Compressor,SUPPORT,,  12 ,  10 ,  12 ,  14 
ALLMAKES,"LIGHTING TOWER, ALLMAKES, LED, TL4",SUPPORT,,  1 ,  1 ,  1 ,  1 
ALLMAKES,AM-LTM-4000KS,SUPPORT,,  1 ,  1 ,  1 ,  1 
AD410T44H,"TRUCK, WATER, IVECO, TRAKKER 440, 8X4",SUPPORT,,  24 ,  19 ,  24 ,  29 
AD380T44W,"TRUCK, CRANE, IVECO, TRAKKER, AD380T44W,",SUPPORT,,  24 ,  19 ,  24 ,  29 
AD380T44W,"TRUCK, FUEL, IVECO, TRAKKER 440, 6X6 25KL",SUPPORT,,  24 ,  19 ,  24 ,  29 
AD380T44W,"TRUCK, WASH, IVECO, AD380T44W, 6X6, 20KL",SUPPORT,,  24 ,  19 ,  24 ,  29 
AD380T44W,"TRUCK, WATER, IVECO, TRAKKER 440, 8X4",SUPPORT,,  24 ,  19 ,  24 ,  29 
AD240T38W,"TRUCK, MANHAUL, IVECO, AD240T38W, 4X4, C",SUPPORT,,  24 ,  19 ,  24 ,  29 
AD240T38W,"TRUCK, MANHAUL, IVECO, TRAKKER 380, 4X4",SUPPORT,,  24 ,  19 ,  24 ,  29 
ACTROS MB3939K,"FUEL TRUCK, MERCEDES-BENZ, ACTROS MB3939K",SUPPORT,,  15 ,  12 ,  15 ,  18 
966H,"LOADER, WHEEL, CAT, 966H",SUPPORT,,  50 ,  40 ,  50 ,  60 
966H,"LOADER, WHEEL, CATERPILLAR, 966H",SUPPORT,,  50 ,  40 ,  50 ,  60 
966F,"LOADER, WHEEL, CAT, 966F",SUPPORT,,  50 ,  40 ,  50 ,  60 
777E,"TRUCK, DUMP, CAT, 777E",HAULING,,  65 ,  45 ,  65 ,  88 
777E,"TRUCK, DUMP, CATERPILLAR, 777E, 100T",HAULING,,  65 ,  45 ,  65 ,  88 
777D,"TRUCK, DUMP, CAT, 777D",HAULING,,  65 ,  45 ,  65 ,  88 
777D,"TRUCK, WATER, CATERPILLAR, 777D, 80KL",SUPPORT,,  65 ,  45 ,  65 ,  88 
600X,"WELDER, DIESEL, MILLER, BIG BLUE, 600X",SUPPORT,,  10 ,  8 ,  10 ,  12 
600X,"WELDING, DIESEL, MILLER, BIG BLUE, 600X",SUPPORT,,  10 ,  8 ,  10 ,  12 
405-S,"WELDING, ELECTRIC, MILLER, 405-S",SUPPORT,,  10 ,  8 ,  10 ,  12 
401DX,"WELDING, DIESEL, MILLER, BIG BLUE, 401DX",SUPPORT,,  10 ,  8 ,  10 ,  12 
160K,"GRADER, CATERPILLAR, 160K",SUPPORT,,  30 ,  24 ,  30 ,  36 
14M,"GRADER, CAT, 14, 16FT",SUPPORT,,  27 ,  21 ,  27 ,  32 
14M,"GRADER, CAT, 14M3",SUPPORT,,  27 ,  21 ,  27 ,  32 
14M,"GRADER, CATERPILLAR, 14M3",SUPPORT,,  16 ,  11 ,  16 ,  23 
XH 200,"WATER PUMP, Coates,  XH 200",SUPPORT,,  20 ,  16 ,  20 ,  24 
TWM06367,"PUMP, KSB, LSA 6X8-25, CAT C27, 16PU2382",SUPPORT,Water Pump,  40 ,  23 ,  40 ,  63 
777,"TRUCK, DUMP, CAT, 777, 100T",HAULING,,  65 ,  45 ,  65 ,  88 
HITACHI,Excavator-Hitachi-ZX470LC-5G,LOADING,,  27 ,  17 ,  27 ,  34 
MERCEDES-BENZ,Dump Truck 10 Roda - Mercedes-benz - AROCS 4040K,HAULING,,  24 ,  18 ,  24 ,  32 
VOLVO ,Dump Truck 10 Roda - Volvo - FMX-400 6x4,HAULING,,  26 ,  21 ,  26 ,  31 
KOMATSU,Motor Grader - Komatsu - GD705-4,SUPPORT,,  16 ,  12 ,  16 ,  25 
KOMATSU,Bulldozer- Bulldozer - D85ESS,SUPPORT,,  24 ,  14 ,  24 ,  34 
MERCEDES-BENZ,Dump Truck 10 Roda - Mercedes-benz - AROCS 4040K,HAULING,,  24 ,  18 ,  24 ,  32 
VOLVO,Dump Truck 12 Roda - Volvo - FMX440,HAULING,,  17 ,  12 ,  17 ,  20 
VOLVO,Excavator-Volvo-EC210D,LOADING,,  15 ,  12 ,  15 ,  18 
VOLVO ,Dump Truck 10 Roda - Mercedes-benz - AROCS 4040K,HAULING,,  24 ,  18 ,  24 ,  32 
DOOSAN,Excavator-Doosan-DX300LCA,SUPPORT,,  10 ,  9 ,  10 ,  12 
LV PAMA,LV PAMA,SUPPORT,,  1 ,  1 ,  1 ,  1 
KOMATSU, PC8508R1 ,LOADING,PC 800,  38 ,  30 ,  38 ,  55 
Telehandler, JCB5AF-540-1 ,SUPPORT,Otherunit,  12 ,  10 ,  12 ,  14 
JCB,JCB540-170,,Forklift,  12 ,  6 ,  12 ,  14 
Telehandler,JCB5AF-540-1,SUPPORT,Otherunit,  12 ,  10 ,  12 ,  14 
CLGLD36D," DOZER, LIU GONG, CLGLD36D ",SUPPORT,Dozer36D,  40 ,  32 ,  40 ,  48 
D155A-6," DOZER, KOMATSU, D155A-6 ",SUPPORT,Dozer155,  33 ,  17 ,  33 ,  40 
D85ESS-2," DOZER, KOMATSU, D85ESS-2 ",SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
D8R," DOZER, TRACK, CAT, D8R ",SUPPORT,Dozer8R,  45 ,  36 ,  45 ,  54 
D8R," DOZER, TRACK, CATERPILLAR, D8R, RIPPER ",SUPPORT,Dozer8R,  45 ,  36 ,  45 ,  54 
D9T," DOZER, TRACK, CAT, D9T ",SUPPORT,Dozer9R,  48 ,  41 ,  48 ,  56 
D9T," DOZER, TRACK, CATERPILLAR, D9T, RIPPER ",SUPPORT,Dozer9R,  48 ,  41 ,  48 ,  56 
Caterpillar, D10R ,SUPPORT,Dozer10R,  70 ,  60 ,  70 ,  83 
Caterpillar, D6R2 XL ,SUPPORT,Dozer6R,  24 ,  20 ,  24 ,  28 
Caterpillar, D7G2 ,SUPPORT,Dozer7R,  33 ,  28 ,  33 ,  38 
Caterpillar, D9R ,SUPPORT,Dozer9R,  48 ,  41 ,  48 ,  56 
KOMATSU, D 85 E-SS DZ ,SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
KOMATSU, D155A-6 ,SUPPORT,Dozer155,  33 ,  17 ,  33 ,  40 
Komatsu, D85ESS-2 ,SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
Komatsu, D155A-6 ,SUPPORT,Dozer155,  33 ,  17 ,  33 ,  40 
KOMATSU, D155A6R ,SUPPORT,Dozer155,  29 ,  17 ,  29 ,  40 
KOMATSU, D155A-6R ,SUPPORT,Dozer155,  29 ,  17 ,  29 ,  40 
KOMATSU, D375A-6R ,SUPPORT,Dozer375,  64 ,  47 ,  64 ,  80 
KOMATSU, D155A6A ,SUPPORT,Dozer155,  33 ,  17 ,  33 ,  40 
KOMATSU, DZ85-SS ,SUPPORT,Dozer85ES,  25 ,  13 ,  25 ,  29 
CAT,D10R,SUPPORT,Dozer10R,  70 ,  60 ,  70 ,  83 
CAT,D6R2 XL,SUPPORT,Dozer6R,  24 ,  20 ,  24 ,  28 
CAT,D7G2,SUPPORT,Dozer7R,  33 ,  28 ,  33 ,  38 
CAT,D9R,SUPPORT,Dozer9R,  48 ,  41 ,  48 ,  56 
LIU GONG,"DOZER, LIU GONG, CLGLD36D",SUPPORT,Dozer36D,  40 ,  32 ,  40 ,  48 
KOMATSU,"DOZER, KOMATSU, D155A-6",SUPPORT,Dozer155,  33 ,  17 ,  33 ,  40 
KOMATSU,"DOZER, KOMATSU, D85ESS-2",SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
CAT,"DOZER, TRACK, CAT, D8R",SUPPORT,Dozer8R,  45 ,  36 ,  45 ,  54 
CAT,"DOZER, TRACK, CATERPILLAR, D8R, RIPPER",SUPPORT,Dozer8R,  45 ,  36 ,  45 ,  54 
CAT,"DOZER, TRACK, CAT, D9T",SUPPORT,Dozer9R,  48 ,  41 ,  48 ,  56 
CAT,"DOZER, TRACK, CATERPILLAR, D9T, RIPPER",SUPPORT,Dozer9R,  48 ,  41 ,  48 ,  56 
Doosan,D160S-5,SUPPORT,Dozer160,  50 ,  40 ,  50 ,  60 
KOMATSU,D 85 E-SS DZ,SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
KOMATSU,D155A-6,SUPPORT,Dozer155,  33 ,  17 ,  33 ,  40 
Komatsu,D85ESS-2,SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
Komatsu,D155A-6,SUPPORT,Dozer155,  33 ,  17 ,  33 ,  40 
KOMATSU,D155A6R,Support,Dozer155,  29 ,  17 ,  29 ,  40 
KOMATSU,D155A-6R,Support,Dozer155,  29 ,  17 ,  29 ,  40 
KOMATSU,D375A-6R,Support,Dozer375,  67 ,  47 ,  67 ,  80 
KOMATSU,D155A6A,SUPPORT,Dozer155,  33 ,  17 ,  33 ,  40 
KOMATSU,DZ85-SS,SUPPORT,Dozer85ES,  25 ,  13 ,  25 ,  29 
KOMATSU,Bulldozer- Bulldozer - D85ESS,SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
Komatsu,D85ESS-BMC,SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
Komatsu,D85ESS-EBS,SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
Komatsu,D85ESS-PJPN,SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
Komatsu,D85ESS-REP,SUPPORT,Dozer85ES,  30 ,  18 ,  30 ,  37 
KOMATSU,D375A6R,SUPPORT,Dozer375,  67 ,  47 ,  67 ,  80 
14M," GRADER, CAT, 14, 16FT ",SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
14M," GRADER, CAT, 14M3 ",SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
14M," GRADER, CATERPILLAR, 14M3 ",SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
160K," GRADER, CATERPILLAR, 160K ",SUPPORT,Grader16M,  31 ,  23 ,  31 ,  40 
CLG4140D," GRADER, LIU GONG, CLG4140D ",SUPPORT,GraderLiugong,  20 ,  16 ,  20 ,  24 
CLG4260D-R," GRADER, LIU GONG, CLG4260D-R ",SUPPORT,GraderLiugong,  20 ,  16 ,  20 ,  24 
GD705A-5," GRADER, KOMATSU, GD705A-5 ",SUPPORT,Grader705,  19 ,  14 ,  19 ,  31 
Caterpillar, 14H ,SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
Caterpillar, 14M ,SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
Caterpillar, 16H ,SUPPORT,Grader16M,  31 ,  23 ,  31 ,  40 
Caterpillar, 16M ,SUPPORT,Grader16M,  31 ,  23 ,  31 ,  40 
KOMATSU, GD535-5 MG ,SUPPORT,Grader535,  14 ,  8 ,  14 ,  17 
KOMATSU, GD825A-2 ,SUPPORT,Grader825,  31 ,  23 ,  31 ,  40 
SANY, STG230C-10S ,SUPPORT,GraderSunny,  10 ,  8 ,  10 ,  12 
Komatsu, GD 535 ,SUPPORT,Grader535,  14 ,  8 ,  14 ,  17 
KOMATSU, GD825A-2 ,SUPPORT,Grader825,  27 ,  18 ,  27 ,  35 
CATTERPILAR, CAT14M3 ,SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
CAT,"GRADER, CAT, 14, 16FT",SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
CAT,"GRADER, CAT, 14M3",SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
CAT,"GRADER, CATERPILLAR, 14M3",SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
CAT,"GRADER, CATERPILLAR, 160K",SUPPORT,Grader16M,  31 ,  23 ,  31 ,  40 
CAT,14H,SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
CAT,14M,SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
CAT,16H,SUPPORT,Grader16M,  31 ,  23 ,  31 ,  40 
CAT,16M,SUPPORT,Grader16M,  31 ,  23 ,  31 ,  40 
CAT,CAT14M3,SUPPORT,Grader14M,  25 ,  18 ,  25 ,  33 
LIU GONG,"GRADER, LIU GONG, CLG4140D",SUPPORT,GraderLiugong,  20 ,  16 ,  20 ,  24 
