MERK,TYPE,ACTIVITY,Fuel Tank Cap. L, Average , Low , Mid , High 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (MNG06)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (MNG07)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (MNG08)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (MNG09)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (MNV01)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (SHE02)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (SHE04)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (SVY01)",SUPPORT,,  1 ,  1 ,  1 ,  1 
SR700L,"CRANE, ROUGH TERRAIN,  KATO, SR700L, 70T",SUPPORT,,  35 ,  28 ,  35 ,  42 
SH11D-R,"GENSET, ELEMAX, SH11D-R, 8KVA",SUPPORT,,  5 ,  4 ,  5 ,  6 
SCANIA DC1641A,KSB LCC-H150,SUPPORT,,  20 ,  16 ,  20 ,  24 
SCANIA DC1640A,KSB LCC-H150,SUPPORT,,  20 ,  16 ,  20 ,  24 
SCANIA DC16074A,KSB LCC-H200,SUPPORT,,  20 ,  16 ,  20 ,  24 
SCANIA DC13074A,KSB LCC-H150,SUPPORT,,  20 ,  16 ,  20 ,  24 
Scania,P420CB-6x4,SUPPORT,,  20 ,  16 ,  20 ,  24 
SCANIA,P410CB8x4,HAULING,,  26 ,  20 ,  26 ,  33 
SCANIA,P380CB6X6AM,HAULING,,  48 ,  38 ,  48 ,  57 
SCANIA,P124GB6X6CT,SUPPORT,,  48 ,  38 ,  48 ,  57 
Scania,P410B 6X6 DC,SUPPORT,,  48 ,  38 ,  48 ,  57 
SCANIA,Water Truck,SUPPORT,,  26 ,  20 ,  26 ,  33 
SCANIA,Fuel Truck,SUPPORT,,  25 ,  19 ,  25 ,  32 
SCANIA,Crane Truck,SUPPORT,,  24 ,  18 ,  24 ,  30 
SCANIA,Service Truck,SUPPORT,,  24 ,  18 ,  24 ,  30 
SCANIA,Steeming Truck,SUPPORT,,  24 ,  18 ,  24 ,  30 
SCANIA,Lubrication Truck,SUPPORT,,  24 ,  18 ,  24 ,  30 
SCANIA,P380CB6X6WT,SUPPORT,,  26 ,  20 ,  26 ,  33 
SANY,"EXCAVATOR,  SANY, SY500, 50T",LOADING,,  32 ,  26 ,  32 ,  38 
SANY,"EXCAVATOR, SANY, SY500H 40T CLASS",LOADING,,  32 ,  26 ,  32 ,  38 
SANY,STG230C-10S,SUPPORT,,  10 ,  8 ,  10 ,  12 
SANY,"EXCAVATOR,  SANY, SY500, 50T",LOADING,,  30 ,  24 ,  30 ,  36 
SANY,"EXCAVATOR, SANY, SY500H 40T CLASS",LOADING,,  25 ,  20 ,  25 ,  30 
SANY,"EXCAVATOR,  SANY, SY365, 30T",SUPPORT,,  25 ,  20 ,  25 ,  30 
SANY,"EXCAVATOR,  SANY, SY365, 36T",SUPPORT,,  25 ,  20 ,  25 ,  30 
R-YM13SZ,"GENSET, YANMAR, R-YM13SZ",SUPPORT,,  5 ,  4 ,  5 ,  6 
R-YM13SZ,"GENSET, YANMAR,R-YM13SZ, 13KVA",SUPPORT,,  5 ,  4 ,  5 ,  6 
R9350,"EXCAVATOR, LIEBHERR, R9350",LOADING,,  242 ,  194 ,  242 ,  291 
PL100P - 100 Kva,"GENSET, HARTECH, HT100P, 100KVA",SUPPORT,,  5 ,  4 ,  5 ,  6 
PDP,Tower Lamp,SUPPORT,,  2 ,  1 ,  2 ,  2 
PC2000,"EXCAVATOR, BACKHOE, KOMATSU, PC2000-8",LOADING,,  100 ,  84 ,  100 ,  147 
PC2000,"EXCAVATOR, KOMATSU, PC2000-8",LOADING,,  100 ,  84 ,  100 ,  147 
PATRIA,LS4-1400,SUPPORT,,  14 ,  11 ,  14 ,  17 
PATRIA,LS4-1400,SUPPORT,,  -   ,  -   ,  -   ,  -   
PATRIA,Tower Lamp,SUPPORT,,  2 ,  1 ,  2 ,  2 
PATRIA,Genset,SUPPORT,,  2 ,  2 ,  2 ,  3 
PATRIA,Mega Tower,SUPPORT,,  1 ,  1 ,  1 ,  1 
PANASONIC,"Welder, AC ARC",SUPPORT,,  10 ,  8 ,  10 ,  12 
"PAJERO SPORT,GLX","MITSUBISHI, PAJERO SPORT-GLX, 4x4 (PM04)",SUPPORT,,  1 ,  1 ,  1 ,  1 
"PAJERO SPORT,GLX","MITSUBISHI, TRITON, 4X4, HDX (SVY03)",SUPPORT,,  1 ,  1 ,  1 ,  1 
